name,state,city,category,description,short_description,best_time,estimated_cost,recommended_duration,latitude,longitude,rating,image_url,tags,is_hidden_gem,sustainability_score
Hawa Mahal,Rajasthan,Jaipur,Heritage,"Hawa Mahal is a palace in Jaipur, India built from red and pink sandstone. It sits on the edge of the City Palace, Jaipur, and extends to the Zenana.",The Palace of Breeze featuring 953 intricate honeycomb windows.,October to March,200,1.5,26.9239,75.8267,4.6,https://images.unsplash.com/photo-1599661046289-e31897846e41?q=80&w=800,History|Culture|Photography,False,8.2
Mehrangarh Fort,Rajasthan,Jodhpur,Heritage,"Mehrangarh Fort covers an area of 1,200 acres in Jodhpur, Rajasthan. The complex is located on a hilltop around 122 metres above the surrounding plain.",Formidable hilltop citadel with expansive courtyards and panoramic views of the Blue City.,October to March,600,3.5,26.2978,73.0186,4.9,/static/images/places/mehrangarh.jpg,History|Adventure|Photography,False,8.8
Jaisalmer Fort,Rajasthan,Jaisalmer,Heritage,"Jaisalmer Fort is situated in the city of Jaisalmer, in the Indian state of Rajasthan. It is believed to be one of the very few living forts in the world.",A living golden fort rising from the Thar Desert with bustling shops and ancient Jain temples.,October to March,400,4,26.9157,70.9160,4.8,https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?q=80&w=800,History|Culture|Adventure,False,8.4
Pushkar Holy Lake & Brahma Temple,Rajasthan,Pushkar,Spiritual,"Pushkar is a sacred town in Rajasthan surrounding Pushkar Lake, a sacred Hindu site with 52 ghats. It houses one of the very few temples dedicated to Lord Brahma.",Sacred lakeside pilgrimage town known for its spiritual ghats and vibrant camel fair history.,November to March,300,2,26.4897,74.5511,4.5,https://images.unsplash.com/photo-1567157577867-05ccb1388e66?q=80&w=800,Spirituality|Culture|Relaxation,False,8.6
Bundi Garh Palace,Rajasthan,Bundi,Heritage,"Garh Palace in Bundi is famous for its exquisite Rajput frescoes, intricate murals, and serene stepwells, away from heavy tourist crowds.",Offbeat historic palace famous for vibrant royal frescoes and ancient stepwells.,October to March,250,2.5,25.4485,75.6358,4.6,https://images.unsplash.com/photo-1587474260584-136574528ed5?q=80&w=800,History|Culture|Photography,True,9.2
Alleppey Backwaters,Kerala,Alappuzha,Nature,The Alleppey backwaters consist of a seamless network of brackish lagoons and lakes parallel to the Arabian Sea. Renting a traditional houseboat offers a tranquil journey through palm-fringed canals.,Serene canal network fringed by coconut palms and tranquil houseboat cruises.,September to March,3500,24,9.4981,76.3388,4.9,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?q=80&w=800,Nature|Relaxation|Food,False,9.0
Munnar Tea Gardens,Kerala,Munnar,Hill Station,Munnar is a town and hill station located in the Idukki district of the southwestern Indian state of Kerala. It is renowned for lush rolling tea plantations and mist-covered hills.,"Rolling green tea estates, misty valleys, and cool mountain air in the Western Ghats.",September to May,800,6,10.0889,77.0595,4.8,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?q=80&w=800,Nature|Relaxation|Photography,False,9.1
Varkala Cliff Beach,Kerala,Varkala,Beach,Varkala Beach is the only place in southern Kerala where cliffs are found adjacent to the Arabian Sea. These Cenozoic sedimentary formation cliffs are a unique geological feature.,Unique coastal cliffs overlooking the Arabian Sea with beachside cafes and mineral springs.,October to March,1200,8,8.7379,76.7163,4.7,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=800,Beach|Relaxation|Food,False,8.7
Fort Kochi & Chinese Net Coast,Kerala,Kochi,Culture,"Fort Kochi is a coastal neighborhood filled with colonial history, Portuguese architecture, art cafes, and iconic Chinese fishing nets along the coastline.","Charming heritage quarter with colonial mansions, vibrant art scene, and iconic fishing nets.",October to March,400,4,9.9656,76.2428,4.6,https://images.unsplash.com/photo-1590050752117-238cb0fb12b1?q=80&w=800,Culture|History|Food,False,8.8
Gavi Eco-Tourism Reserve,Kerala,Pathanamthitta,Wildlife,"Gavi is a pristine forest reserve inside Periyar Tiger Reserve. It offers regulated eco-tourism, bamboo rafting, forest treks, and wildlife spotting.",Untouched tropical rain forest offering bamboo rafting and endangered wildlife sightings.,October to February,1500,8,9.4363,77.1663,4.8,https://images.unsplash.com/photo-1544551763-46a013bb70d5?q=80&w=800,Nature|Wildlife|Adventure,True,9.6
Solang Valley,Himachal Pradesh,Manali,Adventure,"Solang Valley offers adventure activities like paragliding, zorbing, skiing, and cable car rides amidst snow-capped Himalayan peaks.","Premier adventure hub in Manali for paragliding, skiing, and snow activities.",October to June,2000,5,32.3166,77.1578,4.7,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?q=80&w=800,Adventure|Nature|Photography,False,8.3
Rohtang Pass,Himachal Pradesh,Manali,Nature,Rohtang Pass is a high mountain pass on the eastern Pir Panjal Range of the Himalayas around 51 km from Manali. It connects the Kullu Valley with Lahaul and Spiti Valleys.,Breathtaking high-altitude Himalayan mountain pass offering glacier views and snow play.,May to October,1500,6,32.3716,77.2466,4.8,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Adventure|Photography,False,8.6
Spiti Valley Key Monastery,Himachal Pradesh,Spiti,Spiritual,"Key Monastery is a Tibetan Buddhist monastery located on top of a hill at an altitude of 4,166 metres above sea level, close to the Spiti River.",Ancient cliffside Buddhist monastery set against dramatic cold desert landscapes.,May to October,500,4,32.2989,78.0121,4.9,https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?q=80&w=800,Spirituality|Culture|Adventure,True,9.5
Jibhi & Tirthan Valley,Himachal Pradesh,Kullu,Nature,"Jibhi is a quiet, idyllic village tucked in Tirthan Valley, surrounded by pine forests, wooden cottages, and sparkling rivers. Ideal for slow travel.","Quiet mountain hideaway with wooden chalets, pine forests, and crystal clear trout streams.",March to June,800,6,31.6366,77.3789,4.8,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Relaxation|Photography,True,9.4
Calangute & Baga Beach,Goa,North Goa,Beach,"Calangute and Baga are famous beaches in North Goa known for golden sand, water sports, beach shacks, seafood, and energetic nightlife.","Vibrant beach strip famous for water sports, beach shacks, seafood, and nightlife.",November to April,1000,6,15.5440,73.7554,4.5,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?q=80&w=800,Beach|Food|Relaxation,False,7.8
Dudhsagar Waterfalls,Goa,South Goa,Nature,"Dudhsagar Falls is a four-tiered waterfall located on the Mandovi River. It is among India's tallest waterfalls, cascading through dense Bhagwan Mahaveer Sanctuary.",Spectacular four-tiered milk-white waterfall cascading through tropical jungle.,October to May,1200,5,15.3144,74.3143,4.8,https://images.unsplash.com/photo-1544551763-46a013bb70d5?q=80&w=800,Nature|Adventure|Photography,False,8.9
Fontainhas Latin Quarter,Goa,Panaji,Culture,"Fontainhas is an old Latin Quarter in Panaji known for colorful Portuguese houses, narrow streets, quaint cafes, and art galleries.","Historic heritage neighborhood with pastel Portuguese mansions, cafes, and art galleries.",All Year,300,3,15.4989,73.8311,4.7,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Culture|History|Photography,True,9.1
Taj Mahal,Uttar Pradesh,Agra,Heritage,"The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in Agra. Commissioned in 1631 by Mughal emperor Shah Jahan, it is a UNESCO World Heritage site and global icon.",World-famous marble monument of eternal love and Mughal architectural masterpiece.,October to March,1100,3,27.1751,78.0421,4.9,https://images.unsplash.com/photo-1564507592333-c60657eea523?q=80&w=800,History|Culture|Photography|Heritage,False,8.7
Kashi Vishwanath & Ganga Ghats,Uttar Pradesh,Varanasi,Spiritual,Varanasi is one of the oldest continually inhabited cities in the world. The evening Ganga Aarti at Dashashwamedh Ghat and early morning boat ride are unforgettable spiritual experiences.,"Spiritual heart of India with ancient riverside ghats, sacred temples, and evening Aarti ceremonies.",October to March,400,4,25.3176,83.0100,4.9,/static/images/places/kashi.jpg,Spirituality|Culture|History,False,8.9
Sarnath Sacred Buddhist Complex,Uttar Pradesh,Varanasi,Spiritual,"Sarnath is where Gautama Buddha first taught the Dhamma after his enlightenment. It features the Dhamek Stupa, Ashoka Pillar, and serene monasteries.","Serene pilgrimage site where Lord Buddha gave his first sermon, featuring ancient stupas.",October to March,200,2.5,25.3811,83.0214,4.6,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Spirituality|History|Culture,True,9.0
Meenakshi Amman Temple,Tamil Nadu,Madurai,Spiritual,"Meenakshi Temple is a historic Hindu temple located on the southern bank of the Vaigai River in Madurai. Dedicated to Meenakshi (Parvati) and Sundareswarar (Shiva), it features 14 colorful gopurams.",Architectural marvel with 14 soaring gopurams covered in thousands of vibrant sculptures.,October to March,200,3,9.9195,78.1193,4.9,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Spirituality|Culture|History,False,9.0
Mahabalipuram Shore Temples,Tamil Nadu,Mamallapuram,Heritage,"Mahabalipuram is famous for its 7th- and 8th-century Hindu monuments carved out of rock along the Coromandel coast, including the Shore Temple and Pancha Rathas.","UNESCO rock-cut coastal temples, monolith sculptures, and ancient maritime history.",October to March,400,4,12.6269,80.1927,4.8,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Heritage|History|Beach,False,8.8
Pichavaram Mangrove Forest,Tamil Nadu,Chidambaram,Nature,"Pichavaram is one of the largest mangrove forests in India, offering boat rides through narrow water canals beneath dense canopy trees.",Second largest mangrove forest in the world offering boat rides through green water tunnels.,October to March,500,3,11.4277,79.7820,4.7,https://images.unsplash.com/photo-1544551763-46a013bb70d5?q=80&w=800,Nature|Adventure|Wildlife,True,9.5
Gateway of India & Marine Drive,Maharashtra,Mumbai,Culture,"The Gateway of India is an arch-monument built in the early 20th century in Mumbai. Nearby Marine Drive offers a C-shaped promenade along the coast, illuminated beautifully at night.",Iconic seafront archway and Queens Necklace coastal promenade in bustling Mumbai.,October to March,300,3,18.9220,72.8347,4.7,https://images.unsplash.com/photo-1570168007204-dfb528c6958f?q=80&w=800,Culture|Food|Relaxation,False,8.0
Ajanta & Ellora Caves,Maharashtra,Chhatrapati Sambhaji Nagar,Heritage,"Ajanta and Ellora Caves are ancient rock-cut cave monuments featuring Buddhist, Hindu, and Jain carvings, including the monolithic Kailasa Temple.",Magnificent UNESCO rock-cut cave temples showcasing ancient Indian Buddhist and Hindu art.,October to March,600,6,20.5519,75.7033,4.9,/static/images/places/ajanta.jpg,Heritage|History|Culture,False,9.2
Kaas Plateau Valley of Flowers,Maharashtra,Satara,Nature,Kaas Plateau is a UNESCO World Natural Heritage site known for seasonal wildflower blooms that transform the plateau into a carpet of vibrant colors in late monsoon.,UNESCO heritage plateau blooming with thousands of rare wild floral species after monsoons.,September to October,300,4,17.7214,73.8183,4.8,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Photography|Relaxation,True,9.6
Lonavala & Khandala Western Ghats,Maharashtra,Lonavala,Hill Station,"Lonavala and Khandala are twin hill stations in the Sahyadri range of Maharashtra. Famous for misty waterfalls, Bhaja caves, and Karla rock-cut shrines.","Scenic Western Ghats hill getaway with misty waterfalls, fort viewpoints, and monsoon greenery.",June to March,500,4,18.7557,73.4091,4.6,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?q=80&w=800,Nature|Hill Station|Relaxation,False,8.5
Mysore Palace,Karnataka,Mysuru,Heritage,"Mysore Palace is an official residence of the Wadiyar dynasty. It is famous for its Indo-Saracenic grandeur, opulent interior halls, and spectacular weekend illumination.","Opulent royal residence lit by over 100,000 bulbs every weekend evening.",October to March,400,3,12.3052,76.6552,4.8,https://images.unsplash.com/photo-1603201667141-5a2d4c673378?q=80&w=800,Heritage|Culture|History,False,8.7
Hampi Ruins & Virupaksha Temple,Karnataka,Hampi,Heritage,"Hampi was the capital of the Vijayanagara Empire in the 14th century. Located along the Tungabhadra River, it features boulder-strewn landscapes and magnificent temple ruins.",Surreal boulder landscape filled with sprawling ancient Vijayanagara empire ruins.,October to February,500,8,15.3350,76.4600,4.9,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,Heritage|History|Adventure,False,9.3
Coorg Coffee Plantations,Karnataka,Madikeri,Hill Station,"Coorg (Kodagu) is a rural district in Karnataka known for misty hill ranges, coffee estates, waterfalls, and Kodava warrior culture.",Misty hill station surrounded by fragrant coffee plantations and cascades.,October to March,1200,6,12.4244,75.7382,4.7,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?q=80&w=800,Nature|Relaxation|Food,False,8.9
Agumbe Rainforest Eco-Zone,Karnataka,Shivamogga,Nature,"Agumbe is a high-altitude rainforest village known as the Cherrapunji of the South, home to King Cobras, medicinal plants, and spectacular sunset points.","Dense Western Ghats rainforest sanctuary famous for flora, fauna, and rainy wilderness treks.",October to May,400,4,13.5042,75.0934,4.7,https://images.unsplash.com/photo-1544551763-46a013bb70d5?q=80&w=800,Nature|Wildlife|Adventure,True,9.5
Kedarnath & Badrinath Temples,Uttarakhand,Rudraprayag,Spiritual,"Kedarnath Temple is a sacred Hindu shrine located in the Himalayas near Mandakini river. Dedicated to Lord Shiva, it is set against majestic snow peaks.",High-altitude Himalayan holy shrine set amidst magnificent snow peaks.,May to October,2500,12,30.7352,79.0669,4.9,https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?q=80&w=800,Spirituality|Adventure|Nature,False,9.1
Rishikesh Laxman Jhula & Yoga Ghats,Uttarakhand,Rishikesh,Spiritual,"Rishikesh is located in the Himalayan foothills beside the Ganges River. Famous as the Yoga Capital of the World, white-water rafting hub, and evening Aarti spot.","Yoga capital of the world offering spiritual ghats, meditation centers, and river rafting.",September to May,800,5,30.0869,78.2676,4.8,https://images.unsplash.com/photo-1561361513-2d000a50f0dc?q=80&w=800,Spirituality|Adventure|Relaxation,False,8.8
Valley of Flowers National Park,Uttarakhand,Chamoli,Nature,Valley of Flowers is an Indian national park located in North Chamoli in Uttarakhand. It is known for its meadows of endemic alpine flowers and rich flora.,High-altitude alpine meadow carpeted with endemic wildflowers during monsoon months.,July to September,1800,8,30.7280,79.6053,4.9,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Adventure|Photography,True,9.7
Dal Lake & Shikara Rides,Jammu & Kashmir,Srinagar,Nature,"Dal Lake is a lake in Srinagar, Jammu and Kashmir. It is integral to tourism and recreation in Kashmir and is named the Jewel in the crown of Kashmir.",Jewel of Srinagar featuring serene shikara boat rides and romantic houseboats.,October to May,1500,4,34.0837,74.8370,4.9,/static/images/places/dallake.jpg,Nature|Relaxation|Photography,False,8.9
Gulmarg Snow Meadows,Jammu & Kashmir,Gulmarg,Hill Station,"Gulmarg is a town, hill station, popular skiing destination, and high-altitude gondola ride hub in the Pir Panjal Range of the Himalayas.",Premier winter skiing resort with the worlds second-highest gondola ride.,October to June,2000,5,34.0484,74.3805,4.9,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?q=80&w=800,Adventure|Hill Station|Photography,False,9.0
Cherrapunji Living Root Bridges,Meghalaya,Sohra,Nature,Nongriat in Cherrapunji is famous for bio-engineered living root bridges grown by local Khasi tribes across rushing mountain streams.,Bio-engineered living root bridges crafted by Khasi tribes amidst misty rainforests.,October to April,600,6,25.2750,91.7300,4.9,/static/images/places/cherrapunji.jpg,Nature|Adventure|Culture,True,9.7
Dawki Umngot Crystal River,Meghalaya,Dawki,Nature,"Dawki features the Umngot River, famed for water so clear that boats appear to float on air in mid-water above the pebbled riverbed.",Glass-like crystal clear river where boats float as if suspended in air.,October to April,500,4,25.1841,92.0163,4.8,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?q=80&w=800,Nature|Photography|Relaxation,True,9.6
Tsomgo Lake & Nathula Pass,Sikkim,Gangtok,Nature,"Tsomgo Lake is a glacial lake in the East Sikkim district, located at an altitude of 3,753 meters. It changes colors with seasons and remains frozen in winter.",Glacial high-altitude lake framed by snowy Himalayan peaks near the Indo-China border.,October to May,1200,5,27.3742,88.7619,4.8,https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?q=80&w=800,Nature|Adventure|Photography,False,9.2
Majuli River Island,Assam,Majuli,Culture,"Majuli is the largest river island in the world, located on the Brahmaputra River in Assam. It is the cradle of Assamese Neo-Vaishnavite culture and serene eco-tourism.",World largest river island featuring ancient Vaishnavite Satras and Assamese folk heritage.,October to March,450,5,26.9500,94.1667,4.8,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?q=80&w=800,Culture|Nature|Photography,True,9.8
Gandikota Grand Canyon,Andhra Pradesh,Kadapa,Adventure,Gandikota is a small village in Kadapa district known as the Grand Canyon of India. It features a stunning gorge formed by the Pennar River cutting through Erramala hills.,Surreal red granite gorge on Pennar river with ancient hilltop fort ramparts.,October to March,300,4,14.8150,78.2861,4.9,/static/images/places/gandikota.jpg,Adventure|Nature|History,True,9.5
Ziro Valley Pine Meadows,Arunachal Pradesh,Ziro,Nature,"Ziro Valley is a picturesque hill station in Arunachal Pradesh, home to the Apatani tribe known for sustainable rice-fish farming and pine-covered hills.",UNESCO candidate valley with Apatani tribal heritage and lush green paddy fields.,September to March,600,6,27.5944,93.8385,4.9,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?q=80&w=800,Nature|Culture|Hill Station,True,9.7
Mawlynnong Cleanest Village,Meghalaya,Shillong,Culture,"Mawlynnong is a village in the East Khasi Hills district of Meghalaya. Acclaimed as Asia's Cleanest Village, it offers eco-friendly living and bamboo skywalks.",Asias cleanest eco-village with living root bridges and manicured flower gardens.,October to April,350,3,25.2014,91.9167,4.8,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944?q=80&w=800,Culture|Nature|Relaxation,True,9.9
Chitrakote Horseshoe Falls,Chhattisgarh,Bastar,Nature,Chitrakote Falls is a natural waterfall located on the Indravati River. Known as the Niagara Falls of India due to its broad horseshoe shape in monsoon.,The Niagara Falls of India featuring a roaring horseshoe cascade on the Indravati river.,July to March,400,4,19.2024,81.7011,4.8,https://images.unsplash.com/photo-1544551763-46a013bb70d5?q=80&w=800,Nature|Photography|Adventure,True,9.4
Orchha Royal Cenotaphs,Madhya Pradesh,Orchha,Heritage,Orchha is a historic town on the banks of Betwa River established by Bundela Rajput chief Rudra Pratap Singh. It is famous for 14 chhatris (cenotaphs) and fort complex.,Historic medieval riverside town famous for 14 royal cenotaphs and Bundela palaces.,October to March,300,3.5,25.3503,78.6439,4.8,https://images.unsplash.com/photo-1582510003544-4d00b7f74220?q=80&w=800,History|Culture|Photography,True,9.4
Shekhawati Fresco Havelis,Rajasthan,Jhunjhunu,Culture,Shekhawati is an offbeat semi-arid region in Rajasthan known as the Open Air Art Gallery of Rajasthan due to thousands of grand havelis painted with intricate frescoes.,Open air art gallery region adorned with hundreds of hand-painted royal havelis.,October to March,400,5,28.1289,75.3994,4.7,https://images.unsplash.com/photo-1587474260584-136574528ed5?q=80&w=800,Culture|History|Architecture,True,9.3
Dhanushkodi Ghost Beach,Tamil Nadu,Rameswaram,Beach,Dhanushkodi is an abandoned town on the south-eastern tip of Pamban Island. It is where the Bay of Bengal and Indian Ocean waters meet amidst white sands and ruins.,Surreal abandoned coastal tip where the Indian Ocean meets the Bay of Bengal.,October to March,300,3,9.1764,79.4144,4.9,/static/images/places/dhanushkodi.jpg,Beach|History|Adventure,True,9.6
Pangi Valley & Killar Cliffs,Himachal Pradesh,Chamba,Adventure,"Pangi Valley is a rugged, remote Himalayan valley in Chamba district, known for thrilling cliffside roads, crystal streams, and traditional tribal villages.",Extreme high-altitude Himalayan valley featuring cliffside trails and unspoiled nature.,June to October,1200,7,33.0800,76.5300,4.9,https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?q=80&w=800,Adventure|Nature|Photography,True,9.8
Tawang Monastery & Sela Pass,Arunachal Pradesh,Tawang,Spiritual,"Tawang Monastery is the largest monastery in India and second largest in the world. Perched at 3,000 meters altitude, it overlooks snow-capped Himalayan peaks.",High-altitude Buddhist monastery overlooking frozen lakes and Himalayan snow peaks.,October to April,1500,6,27.5860,91.8594,4.9,https://images.unsplash.com/photo-1581793745862-99fde7fa73d2?q=80&w=800,Spirituality|Culture|Adventure,True,9.7
Gokarna Om Beach & Cliffs,Karnataka,Gokarna,Beach,"Gokarna is a coastal town in Karnataka famous for Om Beach shaped like the sacred symbol Om, palm-fringed cliffs, and laidback beach trekking trails.",Serene palm-lined coastal cliffs and Om-shaped beach away from crowded tourist hubs.,October to March,700,5,14.5479,74.3188,4.8,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?q=80&w=800,Beach|Relaxation|Nature,True,9.3
Daringbadi Kashmir of Odisha,Odisha,Kandhamal,Hill Station,"Daringbadi is a quiet hill station in Kandhamal district of Odisha, known as the Kashmir of Odisha for pine forests, coffee gardens, and occasional frost in winter.",Scenic Eastern Ghats hill station with pine forests coffee gardens and waterfalls.,October to March,500,4,19.9100,84.1300,4.7,https://images.unsplash.com/photo-1593693397690-362cb9666fc2?q=80&w=800,Hill Station|Nature|Relaxation,True,9.4
Mandu Floating Jahaz Mahal,Madhya Pradesh,Dhar,Heritage,"Mandu is an ancient fortress city in Madhya Pradesh famous for Afghan architecture, Jahaz Mahal (Ship Palace) situated between two lakes, and romantic folklore.",Ancient hilltop fortress city with floating palaces and royal Afghan architecture.,October to March,350,4,22.3654,75.3857,4.8,https://images.unsplash.com/photo-1603201667141-5a2d4c673378?q=80&w=800,Heritage|History|Architecture,True,9.5
Yumthang Valley of Flowers,Sikkim,Lachung,Nature,"Yumthang Valley is a nature sanctuary in North Sikkim with river, hot springs, yaks and grazing pasture on rolling meadows surrounded by Himalayan peaks.",Valley of Flowers sanctuary in North Sikkim with natural hot springs and alpine meadows.,March to June,1500,6,27.8260,88.6964,4.9,https://images.unsplash.com/photo-1506744038136-46273834b3fb?q=80&w=800,Nature|Adventure|Photography,True,9.8
Kumbhalgarh Fort Great Wall,Rajasthan,Rajsamand,Heritage,"Kumbhalgarh Fort is a Mewar fortress on the westerly range of Aravalli Hills. Its perimeter wall extends 36 km, making it the second longest wall in the world.",Formidable Aravalli fort featuring the 36-km Great Wall of India.,October to March,400,4,25.1479,73.5875,4.9,/static/images/places/kumbhalgarh.jpg,Heritage|History|Adventure,True,9.3
